Organism,Antibiotic,org_ab_mean_MIC,org_ab_std_MIC,org_ab_res_rate,prior_MIC
Acinetobacter,amikacin,3.938494104139084,1.0559021994572915,0.4006093482945679,16.0
Acinetobacter,amoxicillin/clavulanic acid,4.76,0.879393730551528,0.9649122807017544,32.0
Acinetobacter,ampicillin,4.782574099860752,0.7273576170038291,0.9511388684790595,32.0
Acinetobacter,ampicillin/sulbactam,3.6690479421725533,1.276189377306287,0.5475658776239393,16.0
Acinetobacter,azidothymidine,3.96,0.28284271247461906,0.98,16.0
Acinetobacter,azithromycin,1.0,2.23606797749979,0.2,1.0
Acinetobacter,aztreonam,4.2833895614209165,0.500592340246607,0.9988736500364407,16.0
Acinetobacter,cefazolin,5.797070572569907,0.8122780717439971,0.9998618879911608,64.0
Acinetobacter,cefepime,4.627019036436736,1.4028913796803004,0.8708609271523179,32.0
Acinetobacter,cefotaxime,5.376417566157184,0.9521065948900976,0.9976914451553328,32.0
Acinetobacter,cefotetan,5.966101694915254,0.3682298471593293,0.9915254237288136,64.0
Acinetobacter,cefoxitin,5.998854678973253,0.0841023567467571,1.0,64.0
Acinetobacter,cefpodoxime,2.75,0.5,0.0,8.0
Acinetobacter,ceftazidime,4.813444882355929,1.3382779460702228,0.8453670276774969,32.0
Acinetobacter,ceftazidime/avibactam,4.0,0.0,1.0,16.0
Acinetobacter,ceftriaxone,4.898987839743919,0.7709464382530024,0.9936058174523571,32.0
Acinetobacter,cefuroxime,4.571428571428571,1.5118578920369088,1.0,16.0
Acinetobacter,cephalothin,4.0,0.0,1.0,16.0
Acinetobacter,chloramphenicol,5.6,1.3416407864998738,0.967391304347826,32.0
Acinetobacter,ciprofloxacin,2.121660955002866,1.5893880570622714,0.8659911517054374,4.0
Acinetobacter,clarithromycin,4.584962500721156,0.0,1.0,24.0
Acinetobacter,colistin,0.5246082078356696,1.746237163089858,0.08620689655172414,2.0
Acinetobacter,daptomycin,8.0,0.0,1.0,256.0
Acinetobacter,doripenem,0.6223175965665236,1.4779470099482217,0.33620689655172414,1.0
Acinetobacter,doxycycline,1.48,3.4655446902326914,0.6573033707865169,0.5
Acinetobacter,ertapenem,2.8349514563106797,1.3868930389694716,0.9914529914529915,8.0
Acinetobacter,erythromycin,4.0,0.0,1.0,16.0
Acinetobacter,fosfomycin,6.333333333333333,1.1547005383792515,0.3333333333333333,64.0
Acinetobacter,gentamicin,2.764812011257995,1.0394647693074095,0.7117346938775511,8.0
Acinetobacter,imipenem,3.1704425905208753,2.0872847704524857,0.7056481190401341,8.0
Acinetobacter,levofloxacin,2.0248261243261187,0.9730883465187022,0.7372388541891018,4.0
Acinetobacter,linezolid,8.0,0.0,1.0,256.0
Acinetobacter,meropenem,2.4687886523519036,1.7670194272613808,0.6999713405459626,8.0
Acinetobacter,minocycline,2.5408781883753515,1.4823362667341757,0.3482587064676617,8.0
Acinetobacter,moxifloxacin,1.494949494949495,2.182367827420003,0.6630434782608695,8.0
Acinetobacter,nalidixic acid,2.25,0.5,0.93,4.0
Acinetobacter,nitrofurantoin,8.932,0.25307496214052977,1.0,512.0
Acinetobacter,norfloxacin,3.0,0.0,1.0,8.0
Acinetobacter,penicillin,5.0,0.0,1.0,32.0
Acinetobacter,piperacillin,7.0,0.0,1.0,128.0
Acinetobacter,piperacillin/tazobactam,6.217933317910888,1.9938995148986913,0.8899253731343284,128.0
Acinetobacter,polymyxin b,-0.41450046645798755,1.448611875051409,0.0989010989010989,1.0
Acinetobacter,rifampin,3.0,0.0,1.0,8.0
Acinetobacter,streptomycin,3.0,1.632993161855452,0.9565217391304348,8.0
Acinetobacter,sulfisoxazole,4.0,0.0,0.0,16.0
Acinetobacter,teicoplanin,8.0,0.0,1.0,256.0
Acinetobacter,tetracycline,3.119413680781759,0.9714845922905743,0.7048853844903268,8.0
Acinetobacter,ticarcillin,6.86,0.49528388066742063,1.0,128.0
Acinetobacter,ticarcillin/clavulanic acid,6.0,0.0,0.9784172661870504,64.0
Acinetobacter,tigecycline,0.5890299521877628,1.1735626953572045,0.05642633228840126,2.0
Acinetobacter,tobramycin,2.3005700471411505,1.003494367195712,0.4584383966611599,8.0
Acinetobacter,trimethoprim/sulfamethoxazole,2.523711838486897,1.073014197761184,0.7756444326335371,8.0
Acinetobacter,vancomycin,8.0,0.0,1.0,256.0
Enterobacter,amikacin,2.177048056903753,1.1638217233003758,0.040345821325648415,4.0
Enterobacter,amoxicillin/clavulanic acid,5.322265625,0.9568234422084808,0.9948630136986302,32.0
Enterobacter,ampicillin,4.6223776223776225,0.49281427132724204,0.9974358974358974,32.0
Enterobacter,ampicillin/sulbactam,4.682377049180328,0.5582468204771026,0.9663157894736842,32.0
Enterobacter,azithromycin,4.0,0.0,0.0,16.0
Enterobacter,aztreonam,3.5212981744421907,1.775526012273796,0.7830578512396694,16.0
Enterobacter,cefazolin,3.6062717770034842,1.4466125258703086,0.8581081081081081,16.0
Enterobacter,cefepime,2.1912592418562493,2.0909962798719697,0.49909584086799275,4.0
Enterobacter,cefotaxime,5.357311013690755,2.3628216456770597,0.9293361884368309,64.0
Enterobacter,cefotetan,5.0,0.0,0.75,32.0
Enterobacter,cefoxitin,5.478358451111519,0.9537558157467142,0.9981378026070763,32.0
Enterobacter,cefpodoxime,5.0,0.0,1.0,32.0
Enterobacter,ceftazidime,5.311484845562496,1.5975638660917084,0.9492025989367986,32.0
Enterobacter,ceftazidime/avibactam,-0.10236220472440945,1.2269115029294075,0.015748031496062992,1.0
Enterobacter,ceftolozane/tazobactam,3.6666666666666665,0.5773502691896258,1.0,16.0
Enterobacter,ceftriaxone,4.7199994761226085,1.9398611809665653,0.9001919385796545,32.0
Enterobacter,cefuroxime,5.82013422818792,1.8301161850483088,0.9405405405405406,32.0
Enterobacter,cephalothin,3.7142857142857144,1.0690449676496976,0.75,16.0
Enterobacter,chloramphenicol,3.2847222222222223,0.45206756062017917,0.1646586345381526,8.0
Enterobacter,ciprofloxacin,-0.027503201462257168,1.831839147479119,0.2577671560259474,1.0
Enterobacter,colistin,0.11825726141078838,1.7906312758665308,0.25933609958506226,1.0
Enterobacter,doripenem,0.2757300971071431,1.6780104213641656,0.38950276243093923,1.0
Enterobacter,doxycycline,2.8842105263157896,1.0999338267788084,0.5180722891566265,8.0
Enterobacter,ertapenem,1.0417827515562563,1.6684695818384199,0.810379241516966,2.0
Enterobacter,fosfomycin,3.8404907975460123,1.3123150670855186,0.02821316614420063,16.0
Enterobacter,gentamicin,0.6480493965759192,1.7974851375100158,0.09397374701670644,1.0
Enterobacter,imipenem,0.901025683035382,1.3778768954424576,0.4782082324455206,2.0
Enterobacter,levofloxacin,0.06567898656732549,1.8726166542176756,0.2630057803468208,0.5
Enterobacter,meropenem,-0.4421426704162472,2.5187835041292654,0.30011723329425555,0.5
Enterobacter,minocycline,2.5676077265973256,1.3936366057009746,0.37251356238698013,4.0
Enterobacter,moxifloxacin,1.65625,0.4774521193960599,1.0,4.0
Enterobacter,nalidixic acid,1.6923076923076923,0.48038446141526137,0.23529411764705882,4.0
Enterobacter,nitrofurantoin,5.84390243902439,0.8313846177263932,0.5588235294117647,64.0
Enterobacter,norfloxacin,3.0,0.0,1.0,8.0
Enterobacter,piperacillin/tazobactam,6.02033896267329,1.3389355188679528,0.8268615806304248,64.0
Enterobacter,polymyxin b,-0.4114153301841436,1.1622474732539927,0.15151515151515152,0.5
Enterobacter,streptomycin,3.3076923076923075,2.1363760352762258,0.47619047619047616,16.0
Enterobacter,sulfisoxazole,6.230769230769231,1.535895295576609,0.07692307692307693,64.0
Enterobacter,tetracycline,3.003921568627451,1.8573869707895636,0.38313253012048193,8.0
Enterobacter,ticarcillin/clavulanic acid,6.0,0.0,1.0,64.0
Enterobacter,tigecycline,-0.00566150178784267,0.6438734385792815,0.021527572987319374,1.0
Enterobacter,tobramycin,1.2380952380952381,1.5153401951188814,0.35334476843910806,2.0
Enterobacter,trimethoprim/sulfamethoxazole,1.0049205533977854,2.002825943748932,0.39279869067103107,1.0
Klebsiella,amikacin,2.994614696338396,1.301953785844468,0.12485141158989599,8.0
Klebsiella,amoxicillin,8.0,0.0,1.0,256.0
Klebsiella,amoxicillin/clavulanic acid,4.416358001360647,0.8376127452557844,0.8490276959340012,32.0
Klebsiella,ampicillin,4.9335233345208405,0.42248486814309194,0.9986091794158554,32.0
Klebsiella,ampicillin/sulbactam,4.913712088850918,0.6697140004604689,0.9361872812135356,32.0
Klebsiella,azithromycin,3.0,1.7320508075688772,1.0,16.0
Klebsiella,aztreonam,4.2681018967188145,1.4138865605949724,0.6563340247368825,32.0
Klebsiella,cefalotin,5.9245283018867925,0.5494422557947559,0.9811320754716981,64.0
Klebsiella,cefazolin,4.440679185552917,0.827721594775644,0.9810756972111554,32.0
Klebsiella,cefepime,3.2585597211851196,1.7764814548861119,0.6018715944089078,16.0
Klebsiella,cefiderocol,-0.5625,0.51234753829798,0.0,0.5
Klebsiella,cefotaxime,4.978884612013282,1.5007025036188806,0.9454519593201053,32.0
Klebsiella,cefotaxime/clavulanic acid,5.066666666666666,1.624221425205085,0.9333333333333333,32.0
Klebsiella,cefotetan,2.809045226130653,1.5678971933948278,0.2062780269058296,4.0
Klebsiella,cefoxitin,3.8375300608289717,1.1285678155979972,0.4336031415290912,16.0
Klebsiella,cefpodoxime,3.5600276187800493,0.9498379289633029,0.643598615916955,8.0
Klebsiella,ceftaroline,5.0,0.0,1.0,32.0
Klebsiella,ceftazidime,4.194780720434115,1.8917799978730359,0.7847082494969819,32.0
Klebsiella,ceftazidime/avibactam,2.4237889489160396,1.8136020427903308,0.134185303514377,8.0
Klebsiella,ceftazidime/clavulanic acid,1.0,0.0,1.0,2.0
Klebsiella,ceftiofur,-1.0,0.0,0.0,0.5
Klebsiella,ceftolozane/tazobactam,4.208898417841295,1.5525325503383247,0.452991452991453,25.0
Klebsiella,ceftriaxone,5.236783952504684,1.0582538007126736,0.9755555555555555,32.0
Klebsiella,cefuroxime,5.077826419289834,1.0836723145054188,0.9447857142857143,32.0
Klebsiella,cephalothin,4.571428571428571,2.1116265212744283,0.7235023041474654,64.0
Klebsiella,chloramphenicol,4.093523724336371,0.5844407385722828,0.6515334460275296,16.0
Klebsiella,ciprofloxacin,1.436635031525925,1.355827667800828,0.6297282307265668,4.0
Klebsiella,clarithromycin,4.584962500721156,0.0,1.0,24.0
Klebsiella,colistin,1.520425611530118,1.014672543950813,0.5139484978540773,4.0
Klebsiella,doripenem,1.5375553507744668,1.1955930933718397,0.7714103788602356,4.0
Klebsiella,doxycycline,2.711864406779661,0.9658094239374826,0.32857142857142857,8.0
Klebsiella,ertapenem,0.8998042938843812,1.426974833197119,0.4764637391882901,2.0
Klebsiella,erythromycin,5.584962500721156,0.0,1.0,48.0
Klebsiella,fosfomycin,4.549636622461977,0.6627387636060491,0.0059590316573556795,32.0
Klebsiella,gentamicin,1.9332865696947255,1.701587341947624,0.34231378763866877,2.0
Klebsiella,imipenem,1.9723516736694489,1.5252880129754065,0.5196492098949285,4.0
Klebsiella,levofloxacin,1.7719237705463258,1.5475443289884567,0.5031193473365573,8.0
Klebsiella,meropenem,1.3230959881254285,2.3419202074561154,0.38660180979291103,2.0
Klebsiella,minocycline,2.681150689057911,0.8831399301786141,0.2945539722818661,4.0
Klebsiella,moxifloxacin,2.9310392736843105,1.5233099180825265,0.34574468085106386,8.0
Klebsiella,nalidixic acid,3.7041666666666666,1.4318490741936378,0.5243445692883895,16.0
Klebsiella,netilmicin,0.0,0.0,0.0,1.0
Klebsiella,nitrofurantoin,6.511650269990384,1.0021398573641045,0.884449738843581,128.0
Klebsiella,norfloxacin,1.8333333333333333,1.4719601443879746,0.19148936170212766,6.0
Klebsiella,penicillin,5.0,0.0,1.0,32.0
Klebsiella,piperacillin,6.0,0.0,1.0,64.0
Klebsiella,piperacillin/tazobactam,5.184884534639608,1.7276923691304549,0.45856474395416974,64.0
Klebsiella,polymyxin b,2.1171019376579614,0.8750853922495946,0.7933702495638322,4.0
Klebsiella,streptomycin,6.0,0.0,0.6666666666666666,64.0
Klebsiella,sulfamethoxazole,3.5665406120945837,4.448257675490985,0.7142857142857143,1.0
Klebsiella,sulfisoxazole,8.0,0.0,1.0,256.0
Klebsiella,tetracycline,2.829736557199567,1.125749787465305,0.4844349511490843,8.0
Klebsiella,ticarcillin/clavulanic acid,7.0,0.0,0.41284403669724773,128.0
Klebsiella,tigecycline,0.11200763919823913,0.5322572827252812,0.010839716722069664,1.0
Klebsiella,tobramycin,2.4472068391256045,1.551884492260011,0.4752329192546584,8.0
Klebsiella,trimethoprim,2.2,2.233435760015866,0.4318181818181818,16.0
Klebsiella,trimethoprim/sulfamethoxazole,2.053012286281707,1.6221752387801083,0.6247475999858302,4.0
Klebsiella,vancomycin,8.0,0.0,1.0,256.0
Pseudomonas,amikacin,2.752380149733041,1.3001131898036005,0.12182641981095227,4.0
Pseudomonas,amoxicillin/clavulanic acid,5.111111111111111,0.7583952786593613,1.0,32.0
Pseudomonas,ampicillin,7.35,3.1826268904869495,0.9936708860759493,32.0
Pseudomonas,ampicillin/sulbactam,4.944444444444445,0.23231068414572323,1.0,32.0
Pseudomonas,azithromycin,6.285714285714286,0.7559289460184545,1.0,64.0
Pseudomonas,aztreonam,3.547473385666559,1.434239161643628,0.46992423070975725,16.0
Pseudomonas,cefazolin,4.6875,0.9651174088696284,1.0,32.0
Pseudomonas,cefepime,3.291347509768442,1.435464143063074,0.4441435865697045,16.0
Pseudomonas,cefiderocol,-1.6882993241584372,1.8007733134108173,0.02702702702702703,0.25
Pseudomonas,cefotaxime,5.590909090909091,0.5032362797401965,1.0,64.0
Pseudomonas,cefoxitin,4.756756756756757,0.43495883620084,1.0,32.0
Pseudomonas,ceftazidime,3.3042222987445675,1.3775990347896683,0.4484735429273397,8.0
Pseudomonas,ceftazidime/avibactam,3.7407983222831707,2.8686145520287956,0.17218848489507263,8.0
Pseudomonas,ceftolozane/tazobactam,4.145663336937762,3.2413833464962476,0.25369096390198653,6.0
Pseudomonas,ceftriaxone,5.16,1.0173996465579918,0.98,32.0
Pseudomonas,cefuroxime,5.090909090909091,0.6837634587578277,1.0,32.0
Pseudomonas,chloramphenicol,6.055555555555555,1.1617543641469046,1.0,96.0
Pseudomonas,ciprofloxacin,1.6458399874116778,1.2023551684505072,0.5426251691474966,4.0
Pseudomonas,clarithromycin,8.0,0.0,1.0,256.0
Pseudomonas,clindamycin,5.0,2.0,1.0,16.0
Pseudomonas,colistin,0.18019455960612976,0.5545191231010825,0.037484975961538464,1.0
Pseudomonas,daptomycin,8.0,0.0,1.0,256.0
Pseudomonas,doripenem,2.097826086956522,1.3911792974141581,0.7471264367816092,8.0
Pseudomonas,ertapenem,2.3055555555555554,1.36945128624454,0.9444444444444444,8.0
Pseudomonas,erythromycin,6.454545454545454,0.6875516509523286,1.0,64.0
Pseudomonas,fosfomycin,6.0,2.8284271247461903,0.23529411764705882,136.0
Pseudomonas,gentamicin,2.3262549089098026,1.413093341137216,0.27755227081259093,4.0
Pseudomonas,imipenem,3.274342791976067,1.9868820578785582,0.5872097449562238,8.0
Pseudomonas,imipenem/relebactam,4.666666666666667,0.816496580927726,1.0,32.0
Pseudomonas,levofloxacin,1.7558035245843302,1.8910058128978122,0.45965102123630464,2.0
Pseudomonas,linezolid,8.0,0.0,1.0,256.0
Pseudomonas,meropenem,1.3457059735041328,1.7197519741089153,0.4630954901545628,2.0
Pseudomonas,minocycline,3.0,0.0,1.0,8.0
Pseudomonas,moxifloxacin,2.8,0.447213595499958,1.0,8.0
Pseudomonas,nalidixic acid,5.0,0.0,1.0,32.0
Pseudomonas,nitrofurantoin,9.0,0.0,1.0,512.0
Pseudomonas,penicillin,5.0,0.0,1.0,32.0
Pseudomonas,piperacillin,5.658496250072115,1.779395434451845,0.14393939393939395,96.0
Pseudomonas,piperacillin/tazobactam,4.376425855513308,2.222142079392839,0.2886119067895022,32.0
Pseudomonas,polymyxin b,-0.08421052631578947,0.7389347982455764,0.020833333333333332,1.0
Pseudomonas,rifampin,5.0,0.0,1.0,32.0
Pseudomonas,streptomycin,5.0,0.0,0.9855072463768116,32.0
Pseudomonas,teicoplanin,8.0,0.0,1.0,256.0
Pseudomonas,tetracycline,3.951219512195122,0.9734274372595815,0.9649122807017544,16.0
Pseudomonas,ticarcillin,7.0,0.0,1.0,128.0
Pseudomonas,ticarcillin/clavulanic acid,6.555555555555555,0.8819171036881968,1.0,128.0
Pseudomonas,tigecycline,2.4166666666666665,0.8409178658720823,0.9,8.0
Pseudomonas,tobramycin,2.0385090169174016,1.361965639564394,0.24724061810154527,4.0
Pseudomonas,trimethoprim/sulfamethoxazole,2.2567068353101534,1.4351488296367862,0.9448818897637795,4.0
Pseudomonas,vancomycin,8.0,0.0,1.0,256.0
Staphylococcus,oxacillin,-1.5,0.7071067811865476,0.0,0.375
Staphylococcus,vancomycin,0.0,0.0,0.0,1.0
Acinetobacter,beta-lactam,,,1.0,
Acinetobacter,carbapenem,,,0.27161294974403344,
Acinetobacter,carbenicillin,,,0.9850746268656716,
Acinetobacter,kanamycin,,,1.0,
Acinetobacter,neomycin,,,0.9315068493150684,
Acinetobacter,netilmicin,,,1.0,
Acinetobacter,spectinomycin,,,1.0,
Acinetobacter,sulfonamides,,,1.0,
Acinetobacter,timentin,,,0.8947368421052632,
Acinetobacter,trimethoprim,,,1.0,
Enterobacter,aminogycosides,,,0.2462686567164179,
Enterobacter,beta-lactam,,,0.7058823529411765,
Enterobacter,carbapenem,,,0.525,
Enterobacter,carbenicillin,,,1.0,
Enterobacter,cefpodoxime_clavulanic_acid,,,1.0,
Enterobacter,erythromycin,,,1.0,
Enterobacter,fluoroquinolones,,,0.29850746268656714,
Enterobacter,kanamycin,,,1.0,
Enterobacter,neomycin,,,1.0,
Enterobacter,penicillin,,,1.0,
Enterobacter,rifampin,,,1.0,
Enterobacter,spectinomycin,,,1.0,
Enterobacter,trimotheprim,,,0.29850746268656714,
Klebsiella,aminogycosides,,,0.5737704918032787,
Klebsiella,beta-lactam,,,0.6451612903225806,
Klebsiella,carbenicillin,,,1.0,
Klebsiella,cefpodoxime_clavulanic_acid,,,0.813953488372093,
Klebsiella,ceftriaxone/cefpodoxime,,,0.5652173913043478,
Klebsiella,extended spectrum beta lactamase,,,0.3862433862433862,
Klebsiella,florfenicol,,,0.7142857142857143,
Klebsiella,fluoroquinolones,,,0.5423728813559322,
Klebsiella,kanamycin,,,0.9696969696969697,
Klebsiella,neomycin,,,1.0,
Klebsiella,ofloxacin,,,0.65625,
Klebsiella,rifampin,,,1.0,
Klebsiella,spectinomycin,,,1.0,
Klebsiella,trimethoprim/sulfobactam,,,0.3473684210526316,
Klebsiella,trimotheprim,,,0.7619047619047619,
Pseudomonas,beta-lactam,,,1.0,
Pseudomonas,carbenicillin,,,1.0,
Pseudomonas,doxycycline,,,0.9850746268656716,
Pseudomonas,kanamycin,,,1.0,
Pseudomonas,neomycin,,,1.0,
Pseudomonas,spectinomycin,,,1.0,
Staphylococcus,cefoxitin,,,0.0,
Staphylococcus,ciprofloxacin,,,0.0,
Staphylococcus,clindamycin,,,0.0,
Staphylococcus,daptomycin,,,1.0,
Staphylococcus,erythromycin,,,0.0,
Staphylococcus,fusidic acid,,,0.0,
Staphylococcus,gentamicin,,,0.0,
Staphylococcus,methicillin,,,0.0,
Staphylococcus,penicillin,,,0.5,
Staphylococcus,tetracycline,,,0.25,
Staphylococcus,trimethoprim/sulfamethoxazole,,,0.0,
